names,id,values,type,exposure,strain,order,fixed,steps,lower_bound,upper_bound
lower_bound,all,0,all,NA,NA,NA,1,0.1,-1000,0
S,all,0.8,all,NA,NA,NA,1,0.1,0,10
EA,all,0.2,all,NA,NA,NA,1,0.1,0,1
MAX_TITRE,all,12,all,NA,NA,NA,1,0.1,0,100
mu,all,5.7,vacc,all,all,NA,0,0.1,0,15
tp,all,12,vacc,all,all,NA,1,0.1,0,17
dp,all,0.616,vacc,all,all,NA,0,0.1,0,1
ts,all,9.3,vacc,all,all,NA,0,0.1,0,20
m,all,0.0065388106,vacc,all,all,NA,0,0.1,0,1
mu,all,3.8,infection,all,all,NA,0,0.1,0,15
tp,all,12,infection,all,all,NA,1,0.1,0,17
dp,all,0.673,infection,all,all,NA,0,0.1,0,1
ts,all,9.4,infection,all,all,NA,0,0.1,0,20
m,all,0.0049915939,infection,all,all,NA,0,0.1,0,1
mu,all,2.1692565642,adj,all,all,NA,0,0.1,0,15
tp,all,12,adj,all,all,NA,1,0.1,0,17
dp,all,0.5600457645,adj,all,all,NA,0,0.1,0,1
ts,all,10.7988395239,adj,all,all,NA,0,0.1,0,20
m,all,0.0059629535,adj,all,all,NA,0,0.1,0,1
beta,all,0.6,all,NA,NA,NA,1,0.1,0,100
c,all,4,all,NA,NA,NA,1,0.1,0,20
sigma,all,1,infection,NA,NA,NA,1,0.1,0,100
sigma,all,3,vacc,NA,NA,NA,0,0.1,0,100
sigma,all,2,adj,NA,NA,NA,0,0.1,0,100
y0_mod,all,-20,all,NA,NA,NA,1,0.1,0,500
boost_limit,all,-1,all,NA,NA,NA,1,0.1,0,12
tau,all,0.05,all,NA,NA,NA,1,0.1,0,1
x,NA,0,all,A,A,NA,1,0.1,0,10000
x,NA,6.226721038,all,A,B,NA,1,0.1,0,13
x,NA,6.1271143591,all,A,C,NA,1,0.1,0,13
x,NA,1000,all,A,D,NA,1,0.1,0,10000
x,NA,1000,all,A,E,NA,1,0.1,0,10000
x,NA,0,all,B,B,NA,1,0.1,0,10000
x,NA,0.6959541652,all,B,C,NA,1,0.1,0,13
x,NA,1000,all,B,D,NA,1,0.1,0,10000
x,NA,1000,all,B,E,NA,1,0.1,0,10000
x,NA,0,all,C,C,NA,1,0.1,0,10000
x,NA,1000,all,C,D,NA,1,0.1,0,10000
x,NA,1000,all,C,E,NA,1,0.1,0,10000
x,NA,0,all,D,D,NA,1,0.1,0,10000
x,NA,1.5495453075,all,D,E,NA,1,0.1,0,13
x,NA,0,all,E,E,NA,1,0.1,0,10000
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
