"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.96146528029531,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",6.06054440812686,"vacc1","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0.998675816250034,"vacc1","all","all",NA,0,0.1,0,1
"ts","all",18.9802749440846,"vacc1","all","all",NA,0,0.1,0,30
"m","all",1,"vacc1","all","all",NA,0,0.1,0,10
"mu","all",3.29771056395628,"vacc2","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0.790618854132481,"vacc2","all","all",NA,0,0.1,0,1
"ts","all",0.724727187396165,"vacc2","all","all",NA,0,0.1,0,30
"m","all",0.159892133885686,"vacc2","all","all",NA,0,0.1,0,10
"mu","all",5.09308821029926,"infection2","all","all",NA,0,0.1,0,15
"tp","all",12,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0.833312874939293,"infection2","all","all",NA,0,0.1,0,1
"ts","all",15.9793257739836,"infection2","all","all",NA,0,0.1,0,30
"m","all",1,"infection2","all","all",NA,0,0.1,0,10
"mu","all",5.05133309821473,"adj1","all","all",NA,0,0.1,0,15
"tp","all",12,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0.578327209173977,"adj1","all","all",NA,0,0.1,0,1
"ts","all",7.80799613922262,"adj1","all","all",NA,0,0.1,0,30
"m","all",1,"adj1","all","all",NA,0,0.1,0,10
"mu","all",9.69136737689152,"adj2","all","all",NA,0,0.1,0,15
"tp","all",12,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0.699838478070938,"adj2","all","all",NA,0,0.1,0,1
"ts","all",1.4386148805292,"adj2","all","all",NA,0,0.1,0,30
"m","all",0.027179768901492,"adj2","all","all",NA,0,0.1,0,10
"mu","all",8.62602730154181,"infection1","all","all",NA,0,0.1,0,15
"tp","all",12,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0.178597057801577,"infection1","all","all",NA,0,0.1,0,1
"ts","all",17.1608522653255,"infection1","all","all",NA,0,0.1,0,30
"m","all",0.129486422001636,"infection1","all","all",NA,0,0.1,0,10
"beta","all",0.6,"all",NA,NA,NA,1,0.1,0,100
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",2.91511097905735,"vacc1",NA,NA,NA,0,0.1,0,100
"sigma","all",84.8136898921802,"vacc2",NA,NA,NA,0,0.1,0,100
"sigma","all",1.65452816929139,"adj1",NA,NA,NA,0,0.1,0,100
"sigma","all",1.59629526545366,"adj2",NA,NA,NA,0,0.1,0,100
"sigma","all",1,"infection1",NA,NA,NA,1,0.1,0,100
"sigma","all",1.05593473092061,"infection2",NA,NA,NA,0,0.1,0,100
"y0_mod","all",-1000,"all",NA,NA,NA,1,0.1,-10000,10000
"boost_limit","all",-20,"all",NA,NA,NA,1,0.1,-1000,1000
"tau","all",0,"all",NA,NA,NA,1,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,15
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,15
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,15
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,15
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
