"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.9154030537655,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",4.8242391089024,"vacc1","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0,"vacc1","all","all",NA,1,0.1,0,1
"ts","all",0,"vacc1","all","all",NA,1,0.1,0,30
"m","all",0.636789468814766,"vacc1","all","all",NA,0,0.1,0,10
"mu","all",1.6296862994957,"vacc2","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0,"vacc2","all","all",NA,1,0.1,0,1
"ts","all",0,"vacc2","all","all",NA,1,0.1,0,30
"m","all",0.203996252095619,"vacc2","all","all",NA,0,0.1,0,10
"mu","all",5.87762987767458,"infection2","all","all",NA,0,0.1,0,15
"tp","all",12,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0,"infection2","all","all",NA,1,0.1,0,1
"ts","all",0,"infection2","all","all",NA,1,0.1,0,30
"m","all",1,"infection2","all","all",NA,0,0.1,0,10
"mu","all",5.43671200965161,"adj1","all","all",NA,0,0.1,0,15
"tp","all",12,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0,"adj1","all","all",NA,1,0.1,0,1
"ts","all",0,"adj1","all","all",NA,1,0.1,0,30
"m","all",0.0356595971032007,"adj1","all","all",NA,0,0.1,0,10
"mu","all",3.35616238070114,"adj2","all","all",NA,0,0.1,0,15
"tp","all",12,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0,"adj2","all","all",NA,1,0.1,0,1
"ts","all",0,"adj2","all","all",NA,1,0.1,0,30
"m","all",0.167271782167401,"adj2","all","all",NA,0,0.1,0,10
"mu","all",7.53554540173419,"infection1","all","all",NA,0,0.1,0,15
"tp","all",12,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0,"infection1","all","all",NA,1,0.1,0,1
"ts","all",0,"infection1","all","all",NA,1,0.1,0,30
"m","all",0.0820132427926777,"infection1","all","all",NA,0,0.1,0,10
"beta","all",0.14219800939687,"all",NA,NA,NA,0,0.1,0,100
"c","all",2.4524841648643,"all",NA,NA,NA,0,0.1,0,20
"sigma","all",1.54631511043318,"all",NA,NA,NA,0,0.1,0,100
"y0_mod","all",-1000,"all",NA,NA,NA,1,0.1,-10000,10000
"boost_limit","all",-20,"all",NA,NA,NA,1,0.1,-1000,1000
"tau","all",0,"all",NA,NA,NA,1,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
