"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.90740050581438,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",5.91345025440026,"vacc1","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0.577467347087448,"vacc1","all","all",NA,0,0.1,0,1
"ts","all",20.849681943001,"vacc1","all","all",NA,0,0.1,0,30
"m","all",1,"vacc1","all","all",NA,0,0.1,0,10
"mu","all",2.16806237511019,"vacc2","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0.941459673215971,"vacc2","all","all",NA,0,0.1,0,1
"ts","all",1.22107528269939,"vacc2","all","all",NA,0,0.1,0,30
"m","all",0.195927387205253,"vacc2","all","all",NA,0,0.1,0,10
"mu","all",4.52078150493918,"infection2","all","all",NA,0,0.1,0,15
"tp","all",12,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0.313388931453481,"infection2","all","all",NA,0,0.1,0,1
"ts","all",16.8184998498892,"infection2","all","all",NA,0,0.1,0,30
"m","all",1,"infection2","all","all",NA,0,0.1,0,10
"mu","all",5.39615175056216,"adj1","all","all",NA,0,0.1,0,15
"tp","all",12,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0.447967228919217,"adj1","all","all",NA,0,0.1,0,1
"ts","all",27.226370385581,"adj1","all","all",NA,0,0.1,0,30
"m","all",1,"adj1","all","all",NA,0,0.1,0,10
"mu","all",7.30866573732796,"adj2","all","all",NA,0,0.1,0,15
"tp","all",12,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0.74150480613545,"adj2","all","all",NA,0,0.1,0,1
"ts","all",0.950999066338648,"adj2","all","all",NA,0,0.1,0,30
"m","all",0.0295964662127634,"adj2","all","all",NA,0,0.1,0,10
"mu","all",8.59190489645889,"infection1","all","all",NA,0,0.1,0,15
"tp","all",12,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0.0996074424166197,"infection1","all","all",NA,0,0.1,0,1
"ts","all",16.8832124174324,"infection1","all","all",NA,0,0.1,0,30
"m","all",0.153569231667045,"infection1","all","all",NA,0,0.1,0,10
"beta","all",0.6,"all",NA,NA,NA,1,0.1,0,100
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",2.15393761934787,"vacc1",NA,NA,NA,0,0.1,0,100
"sigma","all",24.7629275871557,"vacc2",NA,NA,NA,0,0.1,0,100
"sigma","all",1.29677067058611,"adj1",NA,NA,NA,0,0.1,0,100
"sigma","all",1.18862488405472,"adj2",NA,NA,NA,0,0.1,0,100
"sigma","all",1,"infection1",NA,NA,NA,1,0.1,0,100
"sigma","all",0.633761140995244,"infection2",NA,NA,NA,0,0.1,0,100
"y0_mod","all",0.476936049927533,"all",NA,NA,NA,0,0.1,0,1
"boost_limit","all",0.0120290721882821,"all",NA,NA,NA,0,0.1,0,12
"tau","all",0.00105192397161157,"all",NA,NA,NA,0,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,15
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,15
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,15
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,15
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
