"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.78933244828489,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",4.67392915950128,"vacc","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc","all","all",NA,1,0.1,0,17
"dp","all",0.636683784327963,"vacc","all","all",NA,0,0.1,0,1
"ts","all",1.16700276285354,"vacc","all","all",NA,0,0.1,0,30
"m","all",0.0759964032778574,"vacc","all","all",NA,0,0.1,0,10
"mu","all",5.35928783558122,"infection","all","all",NA,0,0.1,0,15
"tp","all",12,"infection","all","all",NA,1,0.1,0,17
"dp","all",0.0116315187849823,"infection","all","all",NA,0,0.1,0,1
"ts","all",21.7394283789243,"infection","all","all",NA,0,0.1,0,30
"m","all",0.065840932170698,"infection","all","all",NA,0,0.1,0,10
"mu","all",5.95622149642734,"adj","all","all",NA,0,0.1,0,15
"tp","all",12,"adj","all","all",NA,1,0.1,0,17
"dp","all",0.567039558942713,"adj","all","all",NA,0,0.1,0,1
"ts","all",1.69071026256572,"adj","all","all",NA,0,0.1,0,30
"m","all",0.00460167583658369,"adj","all","all",NA,0,0.1,0,10
"beta","all",0.44032589139467,"all",NA,NA,NA,0,0.1,0,100
"c","all",5.03144094121981,"all",NA,NA,NA,0,0.1,0,20
"sigma","all",1,"infection",NA,NA,NA,1,0.1,0,100
"sigma","all",2.90613950844461,"vacc",NA,NA,NA,0,0.1,0,100
"sigma","all",1.96370560821222,"adj",NA,NA,NA,0,0.1,0,100
"y0_mod","all",-1000,"all",NA,NA,NA,1,0.1,-10000,10000
"boost_limit","all",-20,"all",NA,NA,NA,1,0.1,-1000,1000
"tau","all",0,"all",NA,NA,NA,1,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
