"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",2.00729577041823,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",4.57659823524843,"vacc1","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0.0439891787913194,"vacc1","all","all",NA,0,0.1,0,1
"ts","all",25.2206514200306,"vacc1","all","all",NA,0,0.1,0,30
"m","all",1,"vacc1","all","all",NA,0,0.1,0,10
"mu","all",1.12257834101914,"vacc2","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0.823940566176751,"vacc2","all","all",NA,0,0.1,0,1
"ts","all",9.89713225476953,"vacc2","all","all",NA,0,0.1,0,30
"m","all",0.302334363525979,"vacc2","all","all",NA,0,0.1,0,10
"mu","all",5.74342956923627,"infection2","all","all",NA,0,0.1,0,15
"tp","all",12,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0.954551212761922,"infection2","all","all",NA,0,0.1,0,1
"ts","all",6.70089189001333,"infection2","all","all",NA,0,0.1,0,30
"m","all",1,"infection2","all","all",NA,0,0.1,0,10
"mu","all",4.96043894375041,"adj1","all","all",NA,0,0.1,0,15
"tp","all",12,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0.0966669836398002,"adj1","all","all",NA,0,0.1,0,1
"ts","all",29.5656885312395,"adj1","all","all",NA,0,0.1,0,30
"m","all",1,"adj1","all","all",NA,0,0.1,0,10
"mu","all",6.79409479664639,"adj2","all","all",NA,0,0.1,0,15
"tp","all",12,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0.704988019049291,"adj2","all","all",NA,0,0.1,0,1
"ts","all",1.3894942781832,"adj2","all","all",NA,0,0.1,0,30
"m","all",0.0816868895125431,"adj2","all","all",NA,0,0.1,0,10
"mu","all",8.31501980136915,"infection1","all","all",NA,0,0.1,0,15
"tp","all",12,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0.140743267074259,"infection1","all","all",NA,0,0.1,0,1
"ts","all",16.8176954757965,"infection1","all","all",NA,0,0.1,0,30
"m","all",0.131450653797922,"infection1","all","all",NA,0,0.1,0,10
"beta","all",0.6,"all",NA,NA,NA,1,0.1,0,100
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",0.887263436130457,"all",NA,NA,NA,0,0.1,0,100
"y0_mod","all",-1000,"all",NA,NA,NA,1,0.1,-10000,10000
"boost_limit","all",-20,"all",NA,NA,NA,1,0.1,-1000,1000
"tau","all",0.000361658480952835,"all",NA,NA,NA,0,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
